num,solar_date,solar_yun,ganji,lunar_date,lunar_yun,month_code,month_24,day_time,daeun_man,daeun_woman,harak_date,harak_daytime1,harak_daytime2,yunju,wolju,ilju,div_hour,div_minute
10987,1930-01-30,0,경진,1930-01-01,0,A,1,241003,8,2,1929-01-25,250036,260012,5,13,16,0,0
10988,1930-01-31,0,신사,1930-01-02,0,A,1,251003,8,1,1929-01-26,260012,262348,5,13,17,0,0
10989,1930-02-01,0,임오,1930-01-03,0,A,1,261003,9,1,1929-01-27,262348,272324,5,13,18,0,0
10990,1930-02-02,0,계미,1930-01-04,0,A,1,271003,9,1,1929-01-28,272324,282301,5,13,19,0,0
10991,1930-02-03,0,갑신,1930-01-05,0,A,1,281003,9,1,1929-01-29,282301,12152,5,13,20,0,0
10992,1930-02-04,0,을유,1930-01-06,0,B,2,2152,,,1930-02-01,12152,22141,5,13,21,22,14
10993,1930-02-05,0,병술,1930-01-07,0,B,2,12152,10,1,1930-02-02,22141,32130,6,14,22,0,0
10994,1930-02-06,0,정해,1930-01-08,0,B,2,22152,9,1,1930-02-03,32130,42119,6,14,23,0,0
10995,1930-02-07,0,무자,1930-01-09,0,B,2,32152,9,1,1930-02-04,42119,52108,6,14,24,0,0
10996,1930-02-08,0,기축,1930-01-10,0,B,2,42152,9,1,1930-02-05,52108,62057,6,14,25,0,0
10997,1930-02-09,0,경인,1930-01-11,0,B,2,52152,8,2,1930-02-06,62057,72047,6,14,26,0,0
10998,1930-02-10,0,신묘,1930-01-12,0,B,2,62152,8,2,1930-02-07,72047,82036,6,14,27,0,0
10999,1930-02-11,0,임진,1930-01-13,0,B,2,72152,8,2,1930-02-08,82036,92025,6,14,28,0,0
11000,1930-02-12,0,계사,1930-01-14,0,B,2,82152,7,3,1930-02-09,92025,102014,6,14,29,0,0
11001,1930-02-13,0,갑오,1930-01-15,0,B,2,92152,7,3,1930-02-10,102014,112003,6,14,30,0,0
11002,1930-02-14,0,을미,1930-01-16,0,B,2,102152,7,3,1930-02-11,112003,121952,6,14,31,0,0
11003,1930-02-15,0,병신,1930-01-17,0,B,2,112152,6,4,1930-02-12,121952,131942,6,14,32,0,0
11004,1930-02-16,0,정유,1930-01-18,0,B,2,122152,6,4,1930-02-13,131942,141931,6,14,33,0,0
11005,1930-02-17,0,무술,1930-01-19,0,B,2,132152,6,4,1930-02-14,141931,151920,6,14,34,0,0
11006,1930-02-18,0,기해,1930-01-20,0,B,2,142152,5,5,1930-02-15,151920,161909,6,14,35,0,0
11007,1930-02-19,0,경자,1930-01-21,0,B,2,152152,5,5,1930-02-16,161909,171858,6,14,36,18,9
11008,1930-02-20,0,신축,1930-01-22,0,B,2,162152,5,5,1930-02-17,171858,181847,6,14,37,0,0
11009,1930-02-21,0,임인,1930-01-23,0,B,2,172152,4,6,1930-02-18,181847,191837,6,14,38,0,0
11010,1930-02-22,0,계묘,1930-01-24,0,B,2,182152,4,6,1930-02-19,191837,201826,6,14,39,0,0
11011,1930-02-23,0,갑진,1930-01-25,0,B,2,192152,4,6,1930-02-20,201826,211815,6,14,40,0,0
11012,1930-02-24,0,을사,1930-01-26,0,B,2,202152,3,7,1930-02-21,211815,221804,6,14,41,0,0
11013,1930-02-25,0,병오,1930-01-27,0,B,2,212152,3,7,1930-02-22,221804,231753,6,14,42,0,0
11014,1930-02-26,0,정미,1930-01-28,0,B,2,222152,3,7,1930-02-23,231753,241742,6,14,43,0,0
11015,1930-02-27,0,무신,1930-01-29,0,B,2,232152,2,8,1930-02-24,241742,251732,6,14,44,0,0
11016,1930-02-28,0,기유,1930-02-01,0,B,2,242152,2,8,1930-02-25,251732,261721,6,14,45,0,0
11017,1930-03-01,0,경술,1930-02-02,0,B,2,252152,2,8,1930-02-26,261721,271710,6,14,46,0,0
11018,1930-03-02,0,신해,1930-02-03,0,B,2,262152,1,9,1930-02-27,271710,281659,6,14,47,0,0
11019,1930-03-03,0,임자,1930-02-04,0,B,2,272152,1,9,1930-02-28,281659,291648,6,14,48,0,0
11020,1930-03-04,0,계축,1930-02-05,0,B,2,282152,1,9,1930-02-29,291648,301637,6,14,49,0,0
11021,1930-03-05,0,갑인,1930-02-06,0,B,2,292152,1,10,1930-02-30,301637,11617,6,14,50,0,0
11022,1930-03-06,0,을묘,1930-02-07,0,C,3,1617,,,1930-03-01,11617,21628,6,14,51,16,17
11023,1930-03-07,0,병진,1930-02-08,0,C,3,11617,10,1,1930-03-02,21628,31639,6,15,52,0,0
11024,1930-03-08,0,정사,1930-02-09,0,C,3,21617,9,1,1930-03-03,31639,41649,6,15,53,0,0
11025,1930-03-09,0,무오,1930-02-10,0,C,3,31617,9,1,1930-03-04,41649,51700,6,15,54,0,0
11026,1930-03-10,0,기미,1930-02-11,0,C,3,41617,9,1,1930-03-05,51700,61710,6,15,55,0,0
11027,1930-03-11,0,경신,1930-02-12,0,C,3,51617,8,2,1930-03-06,61710,71721,6,15,56,0,0
11028,1930-03-12,0,신유,1930-02-13,0,C,3,61617,8,2,1930-03-07,71721,81731,6,15,57,0,0
11029,1930-03-13,0,임술,1930-02-14,0,C,3,71617,8,2,1930-03-08,81731,91742,6,15,58,0,0
11030,1930-03-14,0,계해,1930-02-15,0,C,3,81617,7,3,1930-03-09,91742,101752,6,15,59,0,0
11031,1930-03-15,0,갑자,1930-02-16,0,C,3,91617,7,3,1930-03-10,101752,111803,6,15,0,0,0
11032,1930-03-16,0,을축,1930-02-17,0,C,3,101617,7,3,1930-03-11,111803,121813,6,15,1,0,0
11033,1930-03-17,0,병인,1930-02-18,0,C,3,111617,6,4,1930-03-12,121813,131824,6,15,2,0,0
11034,1930-03-18,0,정묘,1930-02-19,0,C,3,121617,6,4,1930-03-13,131824,141834,6,15,3,0,0
11035,1930-03-19,0,무진,1930-02-20,0,C,3,131617,6,4,1930-03-14,141834,151845,6,15,4,0,0
11036,1930-03-20,0,기사,1930-02-21,0,C,3,141617,5,5,1930-03-15,151845,161855,6,15,5,0,0
11037,1930-03-21,0,경오,1930-02-22,0,2,3,151617,5,5,1930-03-16,161855,171906,6,15,6,17,12
11038,1930-03-22,0,신미,1930-02-23,0,C,3,161617,5,5,1930-03-17,171906,181916,6,15,7,0,0
11039,1930-03-23,0,임신,1930-02-24,0,C,3,171617,4,6,1930-03-18,181916,191927,6,15,8,0,0
11040,1930-03-24,0,계유,1930-02-25,0,C,3,181617,4,6,1930-03-19,191927,201937,6,15,9,0,0
11041,1930-03-25,0,갑술,1930-02-26,0,C,3,191617,4,6,1930-03-20,201937,211948,6,15,10,0,0
11042,1930-03-26,0,을해,1930-02-27,0,C,3,201617,3,7,1930-03-21,211948,221958,6,15,11,0,0
11043,1930-03-27,0,병자,1930-02-28,0,C,3,211617,3,7,1930-03-22,221958,232009,6,15,12,0,0
11044,1930-03-28,0,정축,1930-02-29,0,C,3,221617,3,7,1930-03-23,232009,242019,6,15,13,0,0
11045,1930-03-29,0,무인,1930-02-30,0,C,3,231617,2,8,1930-03-24,242019,252030,6,15,14,0,0
11046,1930-03-30,0,기묘,1930-03-01,0,C,3,241617,2,8,1930-03-25,252030,262040,6,15,15,0,0
11047,1930-03-31,0,경진,1930-03-02,0,C,3,251617,2,8,1930-03-26,262040,272051,6,15,16,0,0
11048,1930-04-01,0,신사,1930-03-03,0,C,3,261617,1,9,1930-03-27,272051,282101,6,15,17,0,0
11049,1930-04-02,0,임오,1930-03-04,0,C,3,271617,1,9,1930-03-28,282101,292112,6,15,18,0,0
11050,1930-04-03,0,계미,1930-03-05,0,C,3,281617,1,9,1930-03-29,292112,302122,6,15,19,0,0
11051,1930-04-04,0,갑신,1930-03-06,0,C,3,291617,1,10,1930-03-30,302122,12138,6,15,20,0,0
11052,1930-04-05,0,을유,1930-03-07,0,D,4,2138,,,1930-04-01,12138,22213,6,15,21,21,9
11053,1930-04-06,0,병술,1930-03-08,0,D,4,12138,10,1,1930-04-02,22213,32249,6,16,22,0,0
11054,1930-04-07,0,정해,1930-03-09,0,D,4,22138,10,1,1930-04-03,32249,42324,6,16,23,0,0
11055,1930-04-08,0,무자,1930-03-10,0,D,4,32138,9,1,1930-04-04,42324,60000,6,16,24,0,0
11056,1930-04-09,0,기축,1930-03-11,0,D,4,42138,9,1,1930-04-04,42324,60000,6,16,25,0,0
11057,1930-04-10,0,경인,1930-03-12,0,D,4,52138,9,2,1930-04-05,60000,70036,6,16,26,0,0
11058,1930-04-11,0,신묘,1930-03-13,0,D,4,62138,8,2,1930-04-06,70036,80111,6,16,27,0,0
11059,1930-04-12,0,임진,1930-03-14,0,D,4,72138,8,2,1930-04-07,80111,90147,6,16,28,0,0
11060,1930-04-13,0,계사,1930-03-15,0,D,4,82138,8,3,1930-04-08,90147,100222,6,16,29,0,0
11061,1930-04-14,0,갑오,1930-03-16,0,D,4,92138,7,3,1930-04-09,100222,110258,6,16,30,0,0
11062,1930-04-15,0,을미,1930-03-17,0,D,4,102138,7,3,1930-04-10,110258,120333,6,16,31,0,0
11063,1930-04-16,0,병신,1930-03-18,0,D,4,112138,7,4,1930-04-11,120333,130409,6,16,32,0,0
11064,1930-04-17,0,정유,1930-03-19,0,D,4,122138,6,4,1930-04-12,130409,140444,6,16,33,0,0
11065,1930-04-18,0,무술,1930-03-20,0,D,4,132138,6,4,1930-04-13,140444,150520,6,16,34,0,0
11066,1930-04-19,0,기해,1930-03-21,0,D,4,142138,6,5,1930-04-14,150520,160555,6,16,35,0,0
11067,1930-04-20,0,경자,1930-03-22,0,D,4,152138,5,5,1930-04-15,160555,170631,6,16,36,0,0
11068,1930-04-21,0,신축,1930-03-23,0,D,4,162138,5,5,1930-04-16,170631,180706,6,16,37,4,20
11069,1930-04-22,0,임인,1930-03-24,0,D,4,172138,5,6,1930-04-17,180706,190742,6,16,38,0,0
11070,1930-04-23,0,계묘,1930-03-25,0,D,4,182138,4,6,1930-04-18,190742,200817,6,16,39,0,0
11071,1930-04-24,0,갑진,1930-03-26,0,D,4,192138,4,6,1930-04-19,200817,210853,6,16,40,0,0
11072,1930-04-25,0,을사,1930-03-27,0,D,4,202138,4,7,1930-04-20,210853,220928,6,16,41,0,0
11073,1930-04-26,0,병오,1930-03-28,0,D,4,212138,3,7,1930-04-21,220928,231004,6,16,42,0,0
11074,1930-04-27,0,정미,1930-03-29,0,D,4,222138,3,7,1930-04-22,231004,241039,6,16,43,0,0
11075,1930-04-28,0,무신,1930-03-30,0,D,4,232138,3,8,1930-04-23,241039,251115,6,16,44,0,0
11076,1930-04-29,0,기유,1930-04-01,0,D,4,242138,2,8,1930-04-24,251115,261150,6,16,45,0,0
11077,1930-04-30,0,경술,1930-04-02,0,D,4,252138,2,8,1930-04-25,261150,271226,6,16,46,0,0
11078,1930-05-01,0,신해,1930-04-03,0,D,4,262138,2,9,1930-04-26,271226,281301,6,16,47,0,0
11079,1930-05-02,0,임자,1930-04-04,0,D,4,272138,1,9,1930-04-27,281301,291337,6,16,48,0,0
11080,1930-05-03,0,계축,1930-04-05,0,D,4,282138,1,9,1930-04-28,291337,301412,6,16,49,0,0
11081,1930-05-04,0,갑인,1930-04-06,0,D,4,292138,1,10,1930-04-29,301412,311448,6,16,50,0,0
11082,1930-05-05,0,을묘,1930-04-07,0,D,4,302138,1,10,1930-04-30,311448,11528,6,16,51,0,0
11083,1930-05-06,0,병진,1930-04-08,0,E,5,1528,,,1930-05-01,11528,21625,6,16,52,14,32
11084,1930-05-07,0,정사,1930-04-09,0,E,5,11528,10,1,1930-05-02,21625,31722,6,17,53,0,0
11085,1930-05-08,0,무오,1930-04-10,0,E,5,21528,10,1,1930-05-03,31722,41819,6,17,54,0,0
11086,1930-05-09,0,기미,1930-04-11,0,E,5,31528,9,1,1930-05-04,41819,51916,6,17,55,0,0
11087,1930-05-10,0,경신,1930-04-12,0,E,5,41528,9,1,1930-05-05,51916,62013,6,17,56,0,0
11088,1930-05-11,0,신유,1930-04-13,0,E,5,51528,9,2,1930-05-06,62013,72110,6,17,57,0,0
11089,1930-05-12,0,임술,1930-04-14,0,E,5,61528,8,2,1930-05-07,72110,82207,6,17,58,0,0
11090,1930-05-13,0,계해,1930-04-15,0,E,5,71528,8,2,1930-05-08,82207,92304,6,17,59,0,0
11091,1930-05-14,0,갑자,1930-04-16,0,E,5,81528,8,3,1930-05-09,92304,110001,6,17,0,0,0
11092,1930-05-15,0,을축,1930-04-17,0,E,5,91528,7,3,1930-05-09,92304,110001,6,17,1,0,0
11093,1930-05-16,0,병인,1930-04-18,0,E,5,101528,7,3,1930-05-10,110001,120058,6,17,2,0,0
11094,1930-05-17,0,정묘,1930-04-19,0,E,5,111528,7,4,1930-05-11,120058,130155,6,17,3,0,0
11095,1930-05-18,0,무진,1930-04-20,0,E,5,121528,6,4,1930-05-12,130155,140252,6,17,4,0,0
11096,1930-05-19,0,기사,1930-04-21,0,E,5,131528,6,4,1930-05-13,140252,150349,6,17,5,0,0
11097,1930-05-20,0,경오,1930-04-22,0,E,5,141528,6,5,1930-05-14,150349,160446,6,17,6,0,0
11098,1930-05-21,0,신미,1930-04-23,0,E,5,151528,5,5,1930-05-15,160446,170543,6,17,7,0,0
11099,1930-05-22,0,임신,1930-04-24,0,E,5,161528,5,5,1930-05-16,170543,180640,6,17,8,3,32
11100,1930-05-23,0,계유,1930-04-25,0,E,5,171528,5,6,1930-05-17,180640,190737,6,17,9,0,0
11101,1930-05-24,0,갑술,1930-04-26,0,E,5,181528,4,6,1930-05-18,190737,200834,6,17,10,0,0
11102,1930-05-25,0,을해,1930-04-27,0,E,5,191528,4,6,1930-05-19,200834,210931,6,17,11,0,0
11103,1930-05-26,0,병자,1930-04-28,0,E,5,201528,4,7,1930-05-20,210931,221028,6,17,12,0,0
11104,1930-05-27,0,정축,1930-04-29,0,E,5,211528,3,7,1930-05-21,221028,231125,6,17,13,0,0
11105,1930-05-28,0,무인,1930-05-01,0,E,5,221528,3,7,1930-05-22,231125,241222,6,17,14,0,0
11106,1930-05-29,0,기묘,1930-05-02,0,E,5,231528,3,8,1930-05-23,241222,251319,6,17,15,0,0
11107,1930-05-30,0,경진,1930-05-03,0,E,5,241528,2,8,1930-05-24,251319,261416,6,17,16,0,0
11108,1930-05-31,0,신사,1930-05-04,0,E,5,251528,2,8,1930-05-25,261416,271513,6,17,17,0,0
11109,1930-06-01,0,임오,1930-05-05,0,E,5,261528,2,9,1930-05-26,271513,281610,6,17,18,0,0
11110,1930-06-02,0,계미,1930-05-06,0,E,5,271528,1,9,1930-05-27,281610,291707,6,17,19,0,0
11111,1930-06-03,0,갑신,1930-05-07,0,E,5,281528,1,9,1930-05-28,291707,301804,6,17,20,0,0
11112,1930-06-04,0,을유,1930-05-08,0,E,5,291528,1,10,1930-05-29,301804,311901,6,17,21,0,0
11113,1930-06-05,0,병술,1930-05-09,0,E,5,301528,1,10,1930-05-30,311901,11958,6,17,22,0,0
11114,1930-06-06,0,정해,1930-05-10,0,F,6,1958,,,1930-06-01,11958,22106,6,17,23,18,45
11115,1930-06-07,0,무자,1930-05-11,0,F,6,11958,10,1,1930-06-02,22106,32215,6,18,24,0,0
11116,1930-06-08,0,기축,1930-05-12,0,F,6,21958,10,1,1930-06-03,32215,42323,6,18,25,0,0
11117,1930-06-09,0,경인,1930-05-13,0,F,6,31958,10,1,1930-06-04,42323,60032,6,18,26,0,0
11118,1930-06-10,0,신묘,1930-05-14,0,F,6,41958,9,1,1930-06-04,42323,60032,6,18,27,0,0
11119,1930-06-11,0,임진,1930-05-15,0,F,6,51958,9,2,1930-06-05,60032,70141,6,18,28,0,0
11120,1930-06-12,0,계사,1930-05-16,0,F,6,61958,9,2,1930-06-06,70141,80249,6,18,29,0,0
11121,1930-06-13,0,갑오,1930-05-17,0,F,6,71958,8,2,1930-06-07,80249,90358,6,18,30,0,0
11122,1930-06-14,0,을미,1930-05-18,0,F,6,81958,8,3,1930-06-08,90358,100506,6,18,31,0,0
11123,1930-06-15,0,병신,1930-05-19,0,F,6,91958,8,3,1930-06-09,100506,110615,6,18,32,0,0
11124,1930-06-16,0,정유,1930-05-20,0,F,6,101958,7,3,1930-06-10,110615,120723,6,18,33,0,0
11125,1930-06-17,0,무술,1930-05-21,0,F,6,111958,7,4,1930-06-11,120723,130832,6,18,34,0,0
11126,1930-06-18,0,기해,1930-05-22,0,F,6,121958,7,4,1930-06-12,130832,140940,6,18,35,0,0
11127,1930-06-19,0,경자,1930-05-23,0,F,6,131958,6,4,1930-06-13,140940,151049,6,18,36,0,0
11128,1930-06-20,0,신축,1930-05-24,0,F,6,141958,6,5,1930-06-14,151049,161158,6,18,37,0,0
11129,1930-06-21,0,임인,1930-05-25,0,F,6,151958,6,5,1930-06-15,161158,171307,6,18,38,0,0
11130,1930-06-22,0,계묘,1930-05-26,0,0,6,161958,5,5,1930-06-16,171307,181415,6,18,39,11,31
11131,1930-06-23,0,갑진,1930-05-27,0,F,6,171958,5,6,1930-06-17,181415,191524,6,18,40,0,0
11132,1930-06-24,0,을사,1930-05-28,0,F,6,181958,5,6,1930-06-18,191524,201632,6,18,41,0,0
11133,1930-06-25,0,병오,1930-05-29,0,F,6,191958,4,6,1930-06-19,201632,211741,6,18,42,0,0
11134,1930-06-26,0,정미,1930-06-01,0,F,6,201958,4,7,1930-06-20,211741,221849,6,18,43,0,0
11135,1930-06-27,0,무신,1930-06-02,0,F,6,211958,4,7,1930-06-21,221849,231958,6,18,44,0,0
11136,1930-06-28,0,기유,1930-06-03,0,F,6,221958,3,7,1930-06-22,231958,242106,6,18,45,0,0
11137,1930-06-29,0,경술,1930-06-04,0,F,6,231958,3,8,1930-06-23,242106,252215,6,18,46,0,0
11138,1930-06-30,0,신해,1930-06-05,0,F,6,241958,3,8,1930-06-24,252215,262323,6,18,47,0,0
11139,1930-07-01,0,임자,1930-06-06,0,F,6,251958,2,8,1930-06-25,262323,280032,6,18,48,0,0
11140,1930-07-02,0,계축,1930-06-07,0,F,6,261958,2,9,1930-06-25,262323,280032,6,18,49,0,0
11141,1930-07-03,0,갑인,1930-06-08,0,F,6,271958,2,9,1930-06-26,280032,290141,6,18,50,0,0
11142,1930-07-04,0,을묘,1930-06-09,0,F,6,281958,1,9,1930-06-27,290141,300249,6,18,51,0,0
11143,1930-07-05,0,병진,1930-06-10,0,F,6,291958,1,10,1930-06-28,300249,310359,6,18,52,0,0
11144,1930-07-06,0,정사,1930-06-11,0,F,6,301958,1,10,1930-06-29,310359,320507,6,18,53,0,0
11145,1930-07-07,0,무오,1930-06-12,0,F,6,311958,1,10,1930-06-30,320507,10620,6,18,54,0,0
11146,1930-07-08,0,기미,1930-06-13,0,G,7,620,,,1930-07-01,10620,20727,6,18,55,5,2
11147,1930-07-09,0,경신,1930-06-14,0,G,7,10620,10,1,1930-07-02,20727,30834,6,19,56,0,0
11148,1930-07-10,0,신유,1930-06-15,0,G,7,20620,10,1,1930-07-03,30834,40942,6,19,57,0,0
11149,1930-07-11,0,임술,1930-06-16,0,G,7,30620,9,1,1930-07-04,40942,51049,6,19,58,0,0
11150,1930-07-12,0,계해,1930-06-17,0,G,7,40620,9,1,1930-07-05,51049,61156,6,19,59,0,0
11151,1930-07-13,0,갑자,1930-06-18,0,G,7,50620,9,2,1930-07-06,61156,71304,6,19,0,0,0
11152,1930-07-14,0,을축,1930-06-19,0,G,7,60620,8,2,1930-07-07,71304,81411,6,19,1,0,0
11153,1930-07-15,0,병인,1930-06-20,0,G,7,70620,8,2,1930-07-08,81411,91518,6,19,2,0,0
11154,1930-07-16,0,정묘,1930-06-21,0,G,7,80620,8,3,1930-07-09,91518,101626,6,19,3,0,0
11155,1930-07-17,0,무진,1930-06-22,0,G,7,90620,7,3,1930-07-10,101626,111733,6,19,4,0,0
11156,1930-07-18,0,기사,1930-06-23,0,G,7,100620,7,3,1930-07-11,111733,121840,6,19,5,0,0
11157,1930-07-19,0,경오,1930-06-24,0,G,7,110620,7,4,1930-07-12,121840,131948,6,19,6,0,0
11158,1930-07-20,0,신미,1930-06-25,0,G,7,120620,6,4,1930-07-13,131948,142055,6,19,7,0,0
11159,1930-07-21,0,임신,1930-06-26,0,G,7,130620,6,4,1930-07-14,142055,152202,6,19,8,0,0
11160,1930-07-22,0,계유,1930-06-27,0,G,7,140620,6,5,1930-07-15,152202,162310,6,19,9,0,0
11161,1930-07-23,0,갑술,1930-06-28,0,G,7,150620,5,5,1930-07-16,162310,180017,6,19,10,22,24
11162,1930-07-24,0,을해,1930-06-29,0,G,7,160620,5,5,1930-07-16,162310,180017,6,19,11,0,0
11163,1930-07-25,0,병자,1930-06-30,0,G,7,170620,5,6,1930-07-17,180017,190125,6,19,12,0,0
11164,1930-07-26,0,정축,1930-06-01,1,G,7,180620,4,6,1930-07-18,190125,200232,6,19,13,0,0
11165,1930-07-27,0,무인,1930-06-02,1,G,7,190620,4,6,1930-07-19,200232,210339,6,19,14,0,0
11166,1930-07-28,0,기묘,1930-06-03,1,G,7,200620,4,7,1930-07-20,210339,220447,6,19,15,0,0
11167,1930-07-29,0,경진,1930-06-04,1,G,7,210620,3,7,1930-07-21,220447,230554,6,19,16,0,0
11168,1930-07-30,0,신사,1930-06-05,1,G,7,220620,3,7,1930-07-22,230554,240701,6,19,17,0,0
11169,1930-07-31,0,임오,1930-06-06,1,G,7,230620,3,8,1930-07-23,240701,250809,6,19,18,0,0
11170,1930-08-01,0,계미,1930-06-07,1,G,7,240620,2,8,1930-07-24,250809,260916,6,19,19,0,0
11171,1930-08-02,0,갑신,1930-06-08,1,G,7,250620,2,8,1930-07-25,260916,271023,6,19,20,0,0
11172,1930-08-03,0,을유,1930-06-09,1,G,7,260620,2,9,1930-07-26,271023,281130,6,19,21,0,0
11173,1930-08-04,0,병술,1930-06-10,1,G,7,270620,1,9,1930-07-27,281130,291237,6,19,22,0,0
11174,1930-08-05,0,정해,1930-06-11,1,G,7,280620,1,9,1930-07-28,291237,301344,6,19,23,0,0
11175,1930-08-06,0,무자,1930-06-12,1,G,7,290620,1,10,1930-07-29,301344,311451,6,19,24,0,0
11176,1930-08-07,0,기축,1930-06-13,1,G,7,300620,1,10,1930-07-30,311451,11558,6,19,25,0,0
11177,1930-08-08,0,경인,1930-06-14,1,H,8,1558,,,1930-08-01,11558,21652,6,19,26,14,49
11178,1930-08-09,0,신묘,1930-06-15,1,H,8,11558,10,1,1930-08-02,21652,31745,6,20,27,0,0
11179,1930-08-10,0,임진,1930-06-16,1,H,8,21558,10,1,1930-08-03,31745,41838,6,20,28,0,0
11180,1930-08-11,0,계사,1930-06-17,1,H,8,31558,9,1,1930-08-04,41838,51931,6,20,29,0,0
11181,1930-08-12,0,갑오,1930-06-18,1,H,8,41558,9,1,1930-08-05,51931,62024,6,20,30,0,0
11182,1930-08-13,0,을미,1930-06-19,1,H,8,51558,9,2,1930-08-06,62024,72117,6,20,31,0,0
11183,1930-08-14,0,병신,1930-06-20,1,H,8,61558,8,2,1930-08-07,72117,82210,6,20,32,0,0
11184,1930-08-15,0,정유,1930-06-21,1,H,8,71558,8,2,1930-08-08,82210,92303,6,20,33,0,0
11185,1930-08-16,0,무술,1930-06-22,1,H,8,81558,8,3,1930-08-09,92303,102356,6,20,34,0,0
11186,1930-08-17,0,기해,1930-06-23,1,H,8,91558,7,3,1930-08-10,102356,120049,6,20,35,0,0
11187,1930-08-18,0,경자,1930-06-24,1,H,8,101558,7,3,1930-08-10,102356,120049,6,20,36,0,0
11188,1930-08-19,0,신축,1930-06-25,1,H,8,111558,7,4,1930-08-11,120049,130142,6,20,37,0,0
11189,1930-08-20,0,임인,1930-06-26,1,H,8,121558,6,4,1930-08-12,130142,140235,6,20,38,0,0
11190,1930-08-21,0,계묘,1930-06-27,1,H,8,131558,6,4,1930-08-13,140235,150328,6,20,39,0,0
11191,1930-08-22,0,갑진,1930-06-28,1,H,8,141558,6,5,1930-08-14,150328,160421,6,20,40,0,0
11192,1930-08-23,0,을사,1930-06-29,1,H,8,151558,5,5,1930-08-15,160421,170514,6,20,41,0,0
11193,1930-08-24,0,병오,1930-07-01,0,H,8,161558,5,5,1930-08-16,170514,180607,6,20,42,5,26
11194,1930-08-25,0,정미,1930-07-02,0,H,8,171558,5,6,1930-08-17,180607,190700,6,20,43,0,0
